Timestamp,Line,Player,Action,LineDifferential
10/13/2025 9:33,Auston Matthews_Connor McDavid_Leon Draisaitl_Nathan MacKinnon_Sidney Crosby,Connor McDavid,Shot,
10/13/2025 9:33,Auston Matthews_Connor McDavid_Leon Draisaitl_Nathan MacKinnon_Sidney Crosby,Auston Matthews,Bad Pass,
10/13/2025 9:33,Auston Matthews_Connor McDavid_Leon Draisaitl_Nathan MacKinnon_Sidney Crosby,Leon Draisaitl,Bad Pass,
10/13/2025 9:33,Auston Matthews_Connor McDavid_Leon Draisaitl_Nathan MacKinnon_Sidney Crosby,Sidney Crosby,Giveaway,
10/13/2025 9:33,Auston Matthews_Connor McDavid_Leon Draisaitl_Nathan MacKinnon_Sidney Crosby,Auston Matthews,Giveaway,
10/13/2025 13:23,Auston Matthews_Connor McDavid_Leon Draisaitl_Nathan MacKinnon_Sidney Crosby,Sidney Crosby,Bad Pass,
10/13/2025 13:23,Auston Matthews_Connor McDavid_Leon Draisaitl_Nathan MacKinnon_Sidney Crosby,Sidney Crosby,Bad Pass,
2025-10-13 13:27:55,Auston Matthews_Connor McDavid_Leon Draisaitl_Nathan MacKinnon_Sidney Crosby,Sidney Crosby,Goal,1
2025-10-13 13:27:57,Auston Matthews_Connor McDavid_Leon Draisaitl_Nathan MacKinnon_Sidney Crosby,Nathan MacKinnon,Assist,1
2025-10-13 13:27:58,Auston Matthews_Connor McDavid_Leon Draisaitl_Nathan MacKinnon_Sidney Crosby,Auston Matthews,Assist,1
2025-10-13 18:21:36,Auston Matthews_Connor McDavid_Leon Draisaitl_Nathan MacKinnon_Sidney Crosby,Nathan MacKinnon,Goal,1
2025-10-13 18:21:43,Auston Matthews_Connor McDavid_Leon Draisaitl_Nathan MacKinnon_Sidney Crosby,Sidney Crosby,Goal,2
2025-10-13 18:21:47,Auston Matthews_Connor McDavid_Leon Draisaitl_Nathan MacKinnon_Sidney Crosby,,Goal Allowed,1
